index,index_in_dataset,t_lava_vae_forward_gradient,t_lava_vae_bp_gradient,t_lava_vae_vanilla,t_lava_cae_forward_gradient,t_lava_cae_bp_gradient,t_lava_cae_vanilla,t_lava_cvae_forward_gradient,t_lava_cvae_bp_gradient,t_lava_cvae_vanilla,kl_lava_vae_forward_gradient,kl_lava_vae_bp_gradient,kl_lava_vae_vanilla,kl_lava_cae_forward_gradient,kl_lava_cae_bp_gradient,kl_lava_cae_vanilla,kl_lava_cvae_forward_gradient,kl_lava_cvae_bp_gradient,kl_lava_cvae_vanilla,ws_lava_vae_forward_gradient,ws_lava_vae_bp_gradient,ws_lava_vae_vanilla,ws_lava_cae_forward_gradient,ws_lava_cae_bp_gradient,ws_lava_cae_vanilla,ws_lava_cvae_forward_gradient,ws_lava_cvae_bp_gradient,ws_lava_cvae_vanilla,js_lava_vae_forward_gradient,js_lava_vae_bp_gradient,js_lava_vae_vanilla,js_lava_cae_forward_gradient,js_lava_cae_bp_gradient,js_lava_cae_vanilla,js_lava_cvae_forward_gradient,js_lava_cvae_bp_gradient,js_lava_cvae_vanilla,mse_lava_vae_forward_gradient,mse_lava_vae_bp_gradient,mse_lava_vae_vanilla,mse_lava_cae_forward_gradient,mse_lava_cae_bp_gradient,mse_lava_cae_vanilla,mse_lava_cvae_forward_gradient,mse_lava_cvae_bp_gradient,mse_lava_cvae_vanilla
0,8374,2.699491262435913,0.7733216285705566,0.6143920421600342,2.1792023181915283,1.0087361335754395,0.663933277130127,0.5903739929199219,0.4159412384033203,0.6941113471984863,,,,,0.6656915803776737,,-0.01769759791374756,0.6264062469971159,,,,,,0.00015346771605520082,,0.0023982257191005984,0.00029226854767963183,,,,,,0.38554349674287913,,0.40062485175249146,0.37233324325464706,,,,,,0.07114136919329082,,0.19721588635454182,0.07666028230124754,
5,9069,1.0393121242523193,0.5114197731018066,0.32036924362182617,1.383922815322876,0.40714502334594727,0.4513087272644043,0.4511265754699707,0.31036901473999023,0.6719849109649658,7.0945620493121435,0.5916167727063641,0.5103012339398048,0.8390367817598992,0.6928637851197136,0.7140731789528207,-0.02930561170082302,0.8878986413979069,,0.00019530392557689393,0.000216600797041275,0.0002587750117638347,8.599182460727001e-05,7.927377912428891e-05,8.260729447774018e-05,0.002353928231803431,0.00018076111084854328,,3.6684381512461472,0.3084373519320641,0.2626051612368638,0.4630800605737476,0.392961537494154,0.40451680863682477,0.2895230859541598,0.46869434981881547,,0.1688024602927432,0.034417989450622105,0.031525053290747236,0.04069457288639372,0.02635863507318042,0.02724443726462125,0.15461708212696845,0.05196073791238509,
6,3924,1.5893561840057373,0.7511277198791504,1.0545685291290283,2.002180337905884,0.655390739440918,0.6498377323150635,0.4558086395263672,0.36737060546875,0.6998214721679688,,,,,,,0.0,1.1121938427995213,,,,,,,,0.002253941346121996,0.00028584502942420354,,,,,,,,0.0,0.6616152737552841,,,,,,,,0.10448114199799827,0.0550065893747134,
7,399,1.5045092105865479,0.6267223358154297,0.6341979503631592,2.04988431930542,0.7730250358581543,0.653048038482666,0.453533411026001,0.23108148574829102,0.6862854957580566,,,,,,,0.0,0.7571209137395031,,,,,,,,0.002298538854139901,0.0006540698986341816,,,,,,,,0.0,0.3039482965630782,,,,,,,,0.12406113425762465,0.06351502568793237,
8,6863,1.9744572639465332,0.6458666324615479,0.6440110206604004,2.298565626144409,0.7464108467102051,0.7109518051147461,0.4697299003601074,0.384091854095459,0.8235809803009033,,,,,,,0.0,1.1955864090750539,,,,,,,,0.0021453888338984067,0.00020067508983817782,,,,,,,,0.0,0.7252453237225553,,,,,,,,0.11347786173292847,0.06024672624550059,
9,7440,0.7620022296905518,0.3329141139984131,0.34067797660827637,1.8611772060394287,0.6121933460235596,0.7257111072540283,0.4872133731842041,0.22898006439208984,0.6975722312927246,11.9316930775239,0.4239268390232124,0.32055661662666446,23.98635792377032,0.6328058976862077,0.6327060248733232,0.0,1.238411581388433,,0.00026557915270683307,0.00020861960552762227,0.0001858355124601755,0.0003713588751073335,0.00032667653106486366,0.0003288781291833786,0.002291203764466196,8.474070253143982e-05,,6.178024608135212,0.28011121090883195,0.22262454572550805,12.33999853159911,0.470180412375561,0.4706852268543118,0.0,0.772887088344967,,0.10637556808378086,0.02935552958274331,0.02268531814669106,0.1255913601851987,0.027013160988855887,0.02721303238426705,0.11743966217524271,0.06107852618042624,
11,5845,0.31938719749450684,0.14913201332092285,0.19858002662658691,1.065556287765503,0.6648945808410645,0.27229881286621094,0.8786818981170654,0.1673128604888916,0.1759634017944336,-0.05383006436519551,0.32638952745066035,1.677493092647407,0.27029611561515654,0.33062619079852085,0.35582386603912997,0.0,1.1772270387548431,0.2090051054457758,0.00025662019782075966,0.00032021016485223893,0.0002606068850505326,0.0001178232284740525,0.00012908369863623352,0.0001270489920996602,0.002150423969321114,0.0002520884180437424,0.00010612495275861006,0.11439876492156423,0.1819232286150794,0.9916889876623312,0.1856648852469192,0.2146019162931667,0.22739117959452299,0.0,0.6404097507166963,0.14005317886456642,0.14915811422608258,0.03207922953499734,0.05639521377724715,0.01789460652728282,0.018745554086739676,0.021130743633627914,0.13949424867986412,0.061072143634980494,0.015895231905698887
13,7005,1.5880258083343506,0.6536698341369629,0.6169042587280273,1.9779400825500488,0.6569173336029053,0.6993317604064941,0.4618971347808838,0.9069702625274658,0.717801570892334,,,,,,,0.0,11.080617837202539,,,,,,,,0.0020482197880191764,0.0006298389016624512,,,,,,,,0.0,5.554739811389461,,,,,,,,0.06744931305855677,0.12185301715105094,
14,7296,1.6385562419891357,0.45764946937561035,0.6047136783599854,2.105288028717041,0.6798665523529053,0.7041366100311279,2.2658183574676514,0.7045314311981201,0.6916539669036865,1.724872199079818,0.22014487218717702,0.17018313055041712,,,,,,,0.00031029979091775576,0.0002680202614674572,0.000211678565643959,,,,,,,0.9134600838065206,0.0904092188524492,0.08005169217314267,,,,,,,0.058293646951528375,0.01834932689613457,0.012404397961400226,,,,,,
15,5587,1.5561017990112305,0.6527128219604492,0.6539835929870605,2.329366445541382,0.7358777523040771,0.646066427230835,0.45553088188171387,0.3623390197753906,0.6918694972991943,,,,,,,0.0,0.8203474323259476,,,,,,,,0.0022979771115908534,0.0003619861608978919,,,,,,,,0.0,0.43236491441812913,,,,,,,,0.12530349394659826,0.04536954211857659,
